timestamp,sensor_id,value,baseline_mean,abs_deviation,status,window_size_after,evicted_value
2026-09-01T09:00:00,TEMP_A,20.00,,,WARMUP,1,
2026-09-01T09:00:00,TEMP_B,30.00,,,WARMUP,1,
2026-09-01T09:01:00,TEMP_A,21.00,,,WARMUP,2,
2026-09-01T09:01:00,TEMP_B,31.00,,,WARMUP,2,
2026-09-01T09:02:00,TEMP_A,19.00,,,WARMUP,3,
2026-09-01T09:02:00,TEMP_B,29.00,,,WARMUP,3,
2026-09-01T09:03:00,TEMP_A,20.00,20.00,0.00,OK,4,
2026-09-01T09:03:00,TEMP_B,36.00,30.00,6.00,ALERT,4,
2026-09-01T09:04:00,TEMP_A,28.00,20.00,8.00,ALERT,5,
2026-09-01T09:04:00,TEMP_B,30.00,31.50,1.50,OK,5,
2026-09-01T09:05:00,TEMP_A,21.00,21.60,0.60,OK,5,20.00
2026-09-01T09:05:00,TEMP_B,31.00,31.20,0.20,OK,5,30.00
2026-09-01T09:06:00,TEMP_A,20.00,21.80,1.80,OK,5,21.00
2026-09-01T09:06:00,TEMP_B,22.00,31.40,9.40,ALERT,5,31.00
2026-09-01T09:07:00,TEMP_A,19.00,21.60,2.60,OK,5,19.00
2026-09-01T09:07:00,TEMP_B,30.00,29.60,0.40,OK,5,29.00
2026-09-01T09:08:00,TEMP_A,12.00,21.60,9.60,ALERT,5,20.00
2026-09-01T09:08:00,TEMP_B,31.00,29.80,1.20,OK,5,36.00
2026-09-01T09:09:00,TEMP_A,20.00,20.00,0.00,OK,5,28.00
2026-09-01T09:09:00,TEMP_B,30.00,28.80,1.20,OK,5,30.00
2026-09-01T09:10:00,TEMP_A,21.00,18.40,2.60,OK,5,21.00
2026-09-01T09:10:00,TEMP_B,38.00,28.80,9.20,ALERT,5,31.00
2026-09-01T09:11:00,TEMP_A,22.00,18.40,3.60,OK,5,20.00
2026-09-01T09:11:00,TEMP_B,30.00,30.20,0.20,OK,5,22.00
